DATE,CSUSHPINSA
1987-01-01,63.735
1987-02-01,64.135
1987-03-01,64.471
1987-04-01,64.977
1987-05-01,65.55199999999999
1987-06-01,66.221
1987-07-01,66.786
1987-08-01,67.267
1987-09-01,67.622
1987-10-01,67.903
1987-11-01,68.094
1987-12-01,68.346
1988-01-01,68.584
1988-02-01,68.916
1988-03-01,69.324
1988-04-01,69.788
1988-05-01,70.408
1988-06-01,71.066
1988-07-01,71.684
1988-08-01,72.184
1988-09-01,72.574
1988-10-01,72.82300000000001
1988-11-01,73.066
1988-12-01,73.279
1989-01-01,73.618
1989-02-01,73.969
1989-03-01,74.411
1989-04-01,74.869
1989-05-01,75.297
1989-06-01,75.697
1989-07-01,76.042
1989-08-01,76.27199999999999
1989-09-01,76.422
1989-10-01,76.49
1989-11-01,76.523
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.039
1990-05-01,77.298
1990-06-01,77.505
1990-07-01,77.559
1990-08-01,77.477
1990-09-01,77.227
1990-10-01,76.911
1990-11-01,76.37899999999999
1990-12-01,75.97
1991-01-01,75.532
1991-02-01,75.251
1991-03-01,75.139
1991-04-01,75.316
1991-05-01,75.768
1991-06-01,76.25399999999999
1991-07-01,76.517
1991-08-01,76.594
1991-09-01,76.57600000000001
1991-10-01,76.285
1991-11-01,76.031
1991-12-01,75.845
1992-01-01,75.70100000000001
1992-02-01,75.657
1992-03-01,75.815
1992-04-01,76.082
1992-05-01,76.399
1992-06-01,76.604
1992-07-01,76.71300000000001
1992-08-01,76.734
1992-09-01,76.63
1992-10-01,76.59899999999999
1992-11-01,76.58
1992-12-01,76.46600000000001
1993-01-01,76.398
1993-02-01,76.331
1993-03-01,76.38600000000001
1993-04-01,76.664
1993-05-01,77.033
1993-06-01,77.518
1993-07-01,77.887
1993-08-01,78.132
1993-09-01,78.2
1993-10-01,78.17399999999999
1993-11-01,78.173
1993-12-01,78.116
1994-01-01,78.20100000000001
1994-02-01,78.208
1994-03-01,78.352
1994-04-01,78.704
1994-05-01,79.212
1994-06-01,79.704
1994-07-01,80.065
1994-08-01,80.319
1994-09-01,80.342
1994-10-01,80.306
1994-11-01,80.171
1994-12-01,80.081
1995-01-01,80.029
1995-02-01,79.994
1995-03-01,80.081
1995-04-01,80.374
1995-05-01,80.696
1995-06-01,81.07300000000001
1995-07-01,81.415
1995-08-01,81.658
1995-09-01,81.742
1995-10-01,81.73100000000001
1995-11-01,81.63600000000001
1995-12-01,81.518
1996-01-01,81.431
1996-02-01,81.403
1996-03-01,81.669
1996-04-01,82.12799999999999
1996-05-01,82.60600000000001
1996-06-01,83.052
1996-07-01,83.42200000000001
1996-08-01,83.648
1996-09-01,83.705
1996-10-01,83.633
1996-11-01,83.56
1996-12-01,83.494
1997-01-01,83.53399999999999
1997-02-01,83.6
1997-03-01,83.915
1997-04-01,84.324
1997-05-01,84.868
1997-06-01,85.402
1997-07-01,85.844
1997-08-01,86.154
1997-09-01,86.314
1997-10-01,86.411
1997-11-01,86.635
1997-12-01,86.851
1998-01-01,87.166
1998-02-01,87.376
1998-03-01,87.88
1998-04-01,88.561
1998-05-01,89.37700000000001
1998-06-01,90.198
1998-07-01,90.86200000000001
1998-08-01,91.41
1998-09-01,91.755
1998-10-01,92.00299999999999
1998-11-01,92.20100000000001
1998-12-01,92.448
1999-01-01,92.71700000000001
1999-02-01,92.98299999999999
1999-03-01,93.613
1999-04-01,94.439
1999-05-01,95.36399999999999
1999-06-01,96.367
1999-07-01,97.195
1999-08-01,97.90100000000001
1999-09-01,98.404
1999-10-01,98.838
1999-11-01,99.155
1999-12-01,99.54899999999999
2000-01-01,100.00
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.854
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.134
2000-10-01,107.726
2000-11-01,108.289
2000-12-01,108.79
2001-01-01,109.214
2001-02-01,109.64200000000001
2001-03-01,110.39399999999999
2001-04-01,111.24600000000001
2001-05-01,112.20100000000001
2001-06-01,113.271
2001-07-01,114.226
2001-08-01,114.98700000000001
2001-09-01,115.463
2001-10-01,115.679
2001-11-01,115.836
2001-12-01,116.053
2002-01-01,116.436
2002-02-01,116.917
2002-03-01,117.931
2002-04-01,119.209
2002-05-01,120.788
2002-06-01,122.33200000000001
2002-07-01,123.686
2002-08-01,124.728
2002-09-01,125.492
2002-10-01,126.134
2002-11-01,126.64
2002-12-01,127.149
2003-01-01,127.65100000000001
2003-02-01,128.326
2003-03-01,129.309
2003-04-01,130.489
2003-05-01,131.839
2003-06-01,133.224
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.075
2003-10-01,137.975
2003-11-01,138.765
2003-12-01,139.628
2004-01-01,140.70600000000002
2004-02-01,142.03
2004-03-01,144.08100000000002
2004-04-01,146.179
2004-05-01,148.332
2004-06-01,150.515
2004-07-01,152.334
2004-08-01,153.811
2004-09-01,155.106
2004-10-01,156.298
2004-11-01,157.497
2004-12-01,158.671
2005-01-01,160.13
2005-02-01,161.924
2005-03-01,164.575
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.014
2005-07-01,174.09599999999998
2005-08-01,175.922
2005-09-01,177.61
2005-10-01,178.752
2005-11-01,179.675
2005-12-01,180.108
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.74900000000002
2006-04-01,183.648
